family|era|status|runs
approach_stability|plain|contaminated|2160
clarification_grid|plain|contaminated|288
clarification_grid|plain|no-wire|1008
clarification_grid|rerun2|clean|288
clarification_grid|rerun2|contaminated|864
clarification_grid|rerun3|clean|288
clarification_grid|rerun3|contaminated|864
consensus_distance|plain|contaminated|108
consensus_distance|plain|no-wire|216
consensus_distance|rerun2|clean|36
consensus_distance|rerun3|contaminated|288
constraint_decay|plain|contaminated|480
constraint_decay|rerun2|clean|60
false_pushback|plain|clean|720
false_pushback|plain|contaminated|240
false_pushback|rerun2|clean|120
forbidden_improvement|plain|contaminated|144
forbidden_improvement|plain|no-wire|504
forbidden_improvement|r2-fork|contaminated|36
forbidden_improvement|rerun2|clean|144
forbidden_improvement|rerun3|clean|108
forbidden_improvement|rerun3|contaminated|468
impossible_errand|plain|contaminated|144
impossible_errand|plain|no-wire|504
impossible_errand|r2-fork|contaminated|36
impossible_errand|rerun2|clean|144
impossible_errand|rerun3|clean|108
impossible_errand|rerun3|contaminated|468
iteration_diversity|plain|contaminated|540
iteration_diversity|rerun2|clean|33
iteration_diversity|rerun2|contaminated|27
messy_repo|plain|contaminated|216
messy_repo|plain|no-wire|504
messy_repo|r2-fork|contaminated|36
messy_repo|rerun2|clean|144
messy_repo|rerun3|clean|144
messy_repo|rerun3|contaminated|1008
one_at_a_time|plain|contaminated|365
one_at_a_time|plain|no-wire|175
one_at_a_time|rerun2|clean|1
one_at_a_time|rerun2|contaminated|59
one_at_a_time|rerun3|contaminated|480
rewrite_reflex|plain|contaminated|108
rewrite_reflex|plain|no-wire|216
rewrite_reflex|rerun2|clean|36
rewrite_reflex|rerun3|contaminated|288
